工单id,标题,待确认结单-问题描述,待确认结单-问题原因,待确认结单-解决方案
13640404,emr，12-31 17:14报障emr-ridlag8q 扩容core数量显示灰色，影响使用，需确认,emr，12-31 17:14报障emr-ridlag8q 扩容core数量显示灰色，影响使用，需确认,资源不足导致，已预扣资源,预扣资源
13638855,"emr,emr-45cd90y7,12.31 14:52,无法加入SR节点，影响节点添加","emr,emr-45cd90y7,12.31 14:52,无法加入SR节点，影响节点添加",您选择的S2机型较老，没有资源导致；,S2机型不推荐您继续使用，建议您考虑我们新区的S5机型下。
13636616,EMR，集群emr-ariof5sn master节点从昨天开始CPU一直较高需确认下原因,EMR，集群emr-ariof5sn master节点从昨天开始CPU一直较高需确认下原因,旧版本历史问题，新版本已修复,已会议沟通，协助开白。控制台升级版本
13634961,EMR，SR集群提交任务卡住，影响使用,EMR，SR集群提交任务卡住，影响使用,架构已拉后端和客户，在外部群单独对接,架构已拉后端和客户，在外部群单独对接
13633362,EMR，emr-7cufdz3d集群在回收站里销毁报错，影响使用，需核实原因,EMR，emr-7cufdz3d集群在回收站里销毁报错，影响使用，需核实原因,经核实，EMR控制台暂不支持在控制台销毁CDB,建议在CDB控制台进行销毁，后续在EMR中禁用这块我们增加提醒
13631951,EMR，emr-rd7hedd9，设置缩容规则时报错，影响使用,emr-rd7hedd9，设置缩容规则时报错，影响使用,设置新的缩容规则的时间 与以前的规则里的时间一致导致的,时间就冲突了可以时间加减一分钟这样来执行
13620100,EMR，hadoop集群经常出现JVM OLD区异常事件，影响任务卡顿，查询原因,EMR，hadoop集群经常出现JVM OLD区异常事件，影响任务卡顿，查询原因,该问题由于old区太高，高的原因是因为任务执行完内存没有及时的回收，导致任务卡顿,建议客户调整一下HiveMetaStore的内存回收机制，hive服务的HMSOpts这个参数，调整为：-Xms8192m -Xmx8192m -Dlog4j2.formatMsgNoLookups=true -Dlog4j.formatMsgNoLookups=true -XX:MaxGCPauseMillis=200 -XX:GCPauseIntervalMillis=600 -XX:G1HeapRegionSize=8M -verbose:gc -XX:+PrintGCTimeStamps -XX:+PrintGCDateStamps -XX:+PrintGCDetails -Xloggc:/data/emr/hive/logs/hms.log -XX:-UseGCLogFileRotation -XX:NumberOfGCLogFiles=10 -XX:GCLogFileSize=32M -XX:MaxDirectMemorySize=1g -XX:CompressedClassSpaceSize=256m -XX:-UseCompressedClassPointers -XX:-UseCompressedOops\n询问客户侧是否还有其他疑问，owner后端群内反馈暂无其他疑问，周一会进行操作
13619710,EMR，emr-l1a1833k，变配操作，已关机还提示需要强制关机，需要优化,EMR，emr-l1a1833k，变配操作，已关机还提示需要强制关机，需要优化,手动关机这种场景，变配完后，需要手动开机一下，开机后agent恢复正常，连接到集群再完成剩余的流程,需要手动开机下，开机后流程恢复。建议直接控制台点变配，同意强制关机，关机提示问题，我们已提需求单评估优化
13618911,emr，emr-sz5ixu5g 集群一直升级中，需要协助确认是否正常,emr，emr-sz5ixu5g 集群一直升级中，需要协助确认是否正常,看流程是没有问题，因为停止BE服务是优雅停止，所以时间会比较久\n,不涉及 
13616681,EMR，emr-i1b39r0y 控制台流程启动进度咨询。,EMR，emr-i1b39r0y 控制台流程启动进度咨询。,流程问题，已经处理，目前已经正常结束。,流程问题，已经处理，目前已经正常结束。
13615369,EMR，集群列表控制台报错，影响使用，需核实原因,EMR，集群列表控制台报错，影响使用，需核实原因,排查客户提供的request id，确认问题原因是访问超时导致\n,客户刷新页面后显示恢复正常，且后续未复现该问题
13610714,EMR，UIN：200026486121 当前只能创建3.5版本的EMR，无法创建3.6的，影响使用。,EMR，UIN：200026486121 当前只能创建3.5版本的EMR，无法创建3.6的，影响使用。,国际版的BUG（前端无法显示）,已经修复完成，经确认已经可以正常选择
13609291,EMR，emr-8lh88ytt 当前集群创建失败，影响使用创建。,EMR，emr-8lh88ytt 当前集群创建失败，影响使用创建。,经核实是TKE：cls-17wv8xue  svc满了，  svc 就只能创建256个,删除了不用的svc，重新创建EMR即可。（已经成功创建）
13609075,emr：需确定用户管理功能,emr：需确定用户管理功能及hadoop用户影响登录问题,关于ranger的登陆这里只能用root用户,ranger的登陆用root用户登录即可，
13603972,emr，emr-0hxdnte2设置节点规格上海5区和上海2区是否有相关sa5机型限制,emr，emr-0hxdnte2设置节点规格上海5区和上海2区是否有相关sa5机型限制,核实为切换可用区未加载机型规格导致无法正常显示sa5机型,26号发版修复优化
13603727,EMR，emr-boe1pswl 堆内存使率告警影响使用，需确认是否有解决方案,EMR，emr-boe1pswl 堆内存使率告警影响使用，需确认是否有解决方案,当时看堆内存确实使用比较高，每个节点都比较高，,评估调大一些trino-jvm参数，目前观测占用已经下降了，可以再观察下。\n
13598842,emr：emr-lboja4dd的8月23号到8月31数据被删，影响使用需确认如何查看具体是谁删除的,emr-lboja4dd的8月23号到8月31数据被删，影响使用需确认如何查看具体是谁删除的,现在开启了ranger鉴权，后续通过ranger和用户管理去控制权限\n后面修改下hadoop用户的密码，避免其他用户使用hadoop用户；同时会限制其他用户su到hadoop上,现在开启了ranger鉴权，后续通过ranger和用户管理去控制权限\n后面修改下hadoop用户的密码，避免其他用户使用hadoop用户；同时会限制其他用户su到hadoop上
13595719,emr，emr-9869dshx从10点开始提交不了任务，影响使用,emr，emr-9869dshx从10点开始提交不了任务，影响使用,core节点负载高导致节点响应慢，目前已关闭core的nm服务,当前已恢复正常，建议观察一下
13594265,emr，集群：emr-gqciav89，io大的计算node一直掉，影响使用，需确认原因,emr，集群：emr-gqciav89，io大的计算node一直掉，影响使用，需确认原因,磁盘使用率到90%导致，建议扩容并调大堆内存\n,任务会生成临时文件，跑完会自动清理；生成的临时文件也会占用磁盘。
13590766,emr，emr-5w8j37h3实例09:02IO告警，需确认原因,emr，emr-5w8j37h3实例09:02IO告警，需确认原因,内网入包量看还是和上次一样，有突增，子机负载、cpu使用率都突增了,建议部署atop来查看哪些进程占用资源较多
13590461,"emr,emr-hswdlh2g,内存使用率持续跑高，需要确认原因","emr,emr-hswdlh2g,内存使用率持续跑高，需要确认原因",fe堆内存使用了内存，导致节点内存走高，然后fe这段时间还未达到old gc，暂时没有去回收内存,可以暂时不用关注，如果需要回收，可以重启fe立即释放。重启建议低峰期，业务评估后操作
