工单id,客户名称,标题,TSS一级标签,TSS二级标签,TSS三级标签,TSS四级标签,待确认结单-问题描述,待确认结单-问题原因,待确认结单-解决方案,客户问题,原因,申请结单-处理方法,工单id
13772022,成都云览科技有限公司,EMR，emr-o98ajfz3，缩容流程卡住，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,EMR，emr-o98ajfz3，缩容流程卡住，影响使用,协助将kyuubi状态恢复后已解决,协助将kyuubi状态恢复后已解决,EMR，emr-o98ajfz3，缩容流程卡住，影响使用,,,1
13772003,杭州栀扬数据服务有限公司,Wedata，20240729112719039，code1失败，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,Wedata，20240729112719039，code1失败，影响使用,这个hive on tez的优化合并相似计算的task时，合并错误了引入的问题，这个目前需要关闭这个参数来规避哈,已回退代码，通过MR任务运行正常使用\nset hive.optimize.shared.work.extended=false;加入参数,Wedata，20240729112719039，code1失败，影响使用,,,1
13771118,深圳百果园实业（集团）股份有限公司,CVM，ins-d9ht1qiu 重启后无法连接，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,CVM，ins-d9ht1qiu 重启后无法连接，影响使用,硬件故障导致，当前磁盘已更换好,目前已协助挂载，测试正常,CVM，ins-d9ht1qiu 重启后无法连接，影响使用,,,1
13768882,北京巴别时代科技股份有限公司,"EMR,需确认emr云服务器资源到期情况",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,,,,"EMR,需确认emr云服务器资源到期情况",,,1
13766370,嘉兴微梦科技有限公司,emr，emr-m54k7ybv，datanode节点显示存在异常，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,信息展示,emr，emr-m54k7ybv，datanode节点显示异常，影响使用,内存不足导致,内存不足，需要改堆内存参数。改为4G 或者 8G，如果是生产环境，建议改为8G，改完后下发配置，然后重启所有datanode,emr，emr-m54k7ybv，datanode节点显示存在异常，影响使用,,,1
13765052,赛诺菲(中国)投资有限公司上海分公司,EMR，emr-k054s39v prd 回收站的文件超过24小时没清理,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,EMR，emr-k054s39v prd 回收站的文件超过24小时没清理,,,1
13764910,成都指掌天下信息技术有限公司,EMR，emr-00x6ddmf ，节点异常重庆，影响使用需确认原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,EMR，emr-00x6ddmf ，节点异常重庆，影响使用需确认原因,,,1
13764140,宇龙计算机通信科技（深圳）有限公司,EMR，需确认实例emr-97i3k0gz集群core缩容进度一直不动的原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,EMR，需确认实例emr-97i3k0gz集群core缩容进度一直不动的原因,,,1
13762858,赛诺菲(中国)投资有限公司上海分公司,"EMR, 点击弹性MapReduce页面出现报错，影响使用",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,信息展示,"EMR, 点击弹性MapReduce页面出现报错，影响使用",需要登录账号后且有emr权限，查看产品信息才不会有报错,需要登录账号后且有emr权限，查看产品信息才不会有报错,"EMR, 点击弹性MapReduce页面出现报错，查询原因",,,1
13762159,深圳小鹅网络技术有限公司,EMR，emr-8xs14dru，24日10:20左右集群告警，影响使用，需要协助确认原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,EMR，emr-8xs14dru，24日10:20左右集群告警，影响使用，需要协助确认原因,您好， 这类事CVM宿主机异常，导致zk异常，恢复后yarn开始走recover逻辑，在恢复的过程中回放某一个app的信息发生NPE，导致无法切换成active状态，从而影响使用，请您知悉,目前调整参数绕过recover逻辑后已恢复,EMR，emr-8xs14dru，24日10:20左右集群告警，影响使用，需要协助确认原因,,,1
13760571,深圳百果园实业（集团）股份有限公司,emr，emr-8lrxeolm，GC在线分析无角色可选，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,信息展示,emr，emr-8lrxeolm，GC在线分析无角色可选，影响使用,集群是23年之前创建的，需要特殊处理下；,建议参考群内提供的文档，EMR存量集群开启GC日志分析步骤。,emr，emr-8lrxeolm，GC在线分析无角色可选，影响使用,,,1
13760376,广州诗悦网络科技有限公司,EMR，emr-ariof5sn 无法缩容core节点，需确认原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,EMR，emr-ariof5sn 无法缩容core节点，需确认原因,白名单限制,已加白，目前可以正常缩容,EMR，emr-ariof5sn 无法缩容core节点，需确认原因,,,1
13760187,北京京客隆商业集团股份有限公司,emr，需emr-2c8y5x4f加白core节点缩容功能,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,emr，需emr-2c8y5x4f加白core节点缩容功能,,,1
13759003,北京紫辰乐游科技有限公司,"emr,emr-nrklelty,需要后台销毁实例",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,"emr,emr-nrklelty,需要后台销毁实例",,,1
13757619,北京搜狐新媒体信息技术有限公司,emr，emr-4yjsxm4t，5个router节点暴露了上述的安全漏洞，需确认如何规避,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,,,,emr，emr-4yjsxm4t，5个router节点暴露了上述的安全漏洞，需确认如何规避,,,1
13757462,上海肯斯爪特科技有限公司,emr，emr-hu2izag9实例自动弹出的集群没有标签，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,emr，emr-hu2izag9实例自动弹出的集群没有标签，影响使用\n,bidding-emergency这个伸缩规则的扩容没有配置标签,配置相关规则的标签即可,emr，emr-hu2izag9实例自动弹出的集群没有标签，影响使用,,,1
13757265,赛诺菲(中国)投资有限公司上海分公司,EMR，emr-dzii7ykl uat SR master 降配需要会议支持,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,,,,EMR，emr-dzii7ykle uat SR master 降配需要后端会议支持,,,1
13756870,北京紫辰乐游科技有限公司,"emr,emr-jdz6frkc,需确认core节点如何限制内存使用上限",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,,,,"emr,emr-jdz6frkc,需确认core节点如何限制内存使用上限",,,1
